"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"WT_A"	"WT_B"	"WT_C"	"GCB_A"	"GCB_B"	"GCB_C"
"2010001A14Rik"	764	-0.640099605348174	1.6407489562666	2.52234367979246	0.155119843618232	0.196882878438525	"2010001A14Rik"	1.65889781818919	1.1990938456878	0.98549313557394	2.32525562840423	1.30196514636662	1.96523936301349
"2010016I18Rik"	1558	0.686692661709094	1.98505180918169	4.49315584927508	0.0706993598316608	0.0976464321253257	"2010016I18Rik"	2.11823825056852	2.56156260253152	2.08444647195713	1.74112201007055	1.3417638121967	1.70314482352325
"2010110K18Rik"	903	-3.60242624559355	1.36179107905894	68.3092498178373	6.35490295619945e-05	0.000356473773524873	"2010110K18Rik"	-1.4027726663368	-0.875012456357528	-0.803235574437276	2.60993532460231	1.80740428512886	2.25389102460779
"2010204K13Rik"	946	-0.295937197771491	1.41238425019614	0.630254125914157	0.452652665904719	0.506991313940608	"2010204K13Rik"	0.643472149032085	1.5258295999725	1.47713254751462	1.63821264853804	1.55993222995766	1.44123744967425
"2010315B03Rik"	2786	1.23578491865507	4.44110652160261	30.7420525345697	0.000787785930018451	0.00215692418779063	"2010315B03Rik"	4.59754736552191	5.11288439488863	5.01477596882381	3.63620895622544	3.8614111533581	3.57350820542613
"2010320M18Rik"	745	-1.49920798833023	2.11779967138011	19.1555080052451	0.00304311545003049	0.00638094814413023	"2010320M18Rik"	0.863502318792473	1.57803337956382	1.15783732218234	2.83601356032852	2.73822929406472	2.43785370896698
"2210016F16Rik"	2822	-1.37742327208877	6.76987381444	53.5899455745455	0.000140000201576665	0.000606433738893712	"2210016F16Rik"	6.02869839416201	5.96722967103533	5.76654973707306	7.58503219055767	7.3285876022078	6.90580256227327
"2210016L21Rik"	1388	-0.670140203134572	5.42696989958358	21.8546541332014	0.00211569814331596	0.00472180523520218	"2210016L21Rik"	4.94961811566208	5.05189515396816	5.15769059585363	5.88501403302273	5.65524605534512	5.61434781460765
"2210408I21Rik"	20413	-1.27828494532186	2.49482130096101	11.7757149250835	0.0105108656953691	0.0183737038063915	"2210408I21Rik"	1.61108056291005	1.89853698370069	1.73840903379607	2.30859616900189	3.32938091769958	3.18494307316591
"2210414B05Rik"	874	-2.03481574623417	2.1314622538394	26.5012445820839	0.00122029315103001	0.00302426559826261	"2210414B05Rik"	0.493303691973555	0.944553013715755	1.0569197538758	3.12001386996695	2.98438489193656	2.15229297631089
"2300009A05Rik"	598	0.00476799024007876	3.80896895682329	0.000236791561499451	0.98814076040582	0.990814714837102	"2300009A05Rik"	3.67618069147792	4.24847633939043	3.36751924643724	4.07097204536159	3.63987659295463	3.66242096146373
"2310001H17Rik"	769	-0.0547816427054529	4.15420075327202	0.0413246116513741	0.844544138107885	0.870421518469459	"2310001H17Rik"	4.1889852505455	4.03630090390831	4.15037093592342	4.59524230249019	3.74750305013845	4.06782519561241
"2310009B15Rik"	571	-2.2325489522884	3.58467480848152	65.9658052367793	7.12724016311562e-05	0.000383699367685539	"2310009B15Rik"	2.10103187858581	2.09046928847685	2.13483392664883	4.43178482635092	3.95419872834274	4.49186158139534
"2310010J17Rik"	538	0.806802233879957	1.89976877498773	3.85164414197019	0.0893706397768493	0.120072403227645	"2310010J17Rik"	2.53178884341686	2.45392687428345	1.47713254751462	1.34336339549678	1.77869420731002	1.12099825366352
"2310011J03Rik"	1659	-0.973960833682017	6.32126958589926	37.115736922268	0.000445023958217242	0.00140323747000229	"2310011J03Rik"	5.68913109990194	5.82055574830994	5.75451500476114	7.02154667210154	6.58986803844617	6.5170244226023
"2310015A10Rik"	4845	2.13475595355434	4.18241232313578	60.5167846128027	9.44690639646025e-05	0.000461805235792284	"2310015A10Rik"	4.83461093814054	4.79772927117734	4.99217707072203	3.12001386996695	2.73822929406472	2.28622697886745
"2310022A10Rik"	2976	0.184327036055898	4.96744731651004	1.51655101791904	0.256881038260891	0.308385650764185	"2310022A10Rik"	5.04267531921805	5.07932026625774	5.04583125923496	4.84094486673699	4.97727538649395	4.79126889095483
"2310022B05Rik"	3307	0.18350431991359	1.43138567047666	0.178301721381182	0.685172567822389	0.728659535226614	"2310022B05Rik"	1.72777730837602	1.89853698370069	0.611421039901875	1.52739489917239	1.13078934064154	1.32153088331856
"2310033P09Rik"	1243	-1.90735830882377	6.13086811180945	135.381333529318	6.3397015434329e-06	8.49021643519135e-05	"2310033P09Rik"	4.82939650605193	4.77274824608274	5.04583125923496	7.03046362670007	6.74540423920144	6.55401355600339
"2310039H08Rik"	773	-1.12470585153581	4.53652622697539	27.4765572280864	0.00109812629463601	0.0027872251977879	"2310039H08Rik"	3.82507394856208	3.99849198151684	3.79060302482632	5.227388517114	4.67242239029066	5.02478945740031
"2310057M21Rik"	5383	0.242101752313149	4.41680524743047	1.5968194162828	0.245767035997576	0.296332529737129	"2310057M21Rik"	4.56026213795838	4.35329677413015	4.66363128495717	4.19851824845548	4.36963394024643	4.2993330428904
"2310061I04Rik"	2130	-0.245223657138826	4.46121993450029	1.38538983435494	0.27666098588251	0.329266433505577	"2310061I04Rik"	4.22517035486615	4.16133502372192	4.58123723224446	4.44327740921857	4.72603868981045	4.55293925990515
