"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"Bmem_A"	"Bmem_B"	"Bmem_C"	"GCB_A"	"GCB_B"	"GCB_C"
"1700096K18Rik"	1449	-0.1259521295755	2.54752002216679	0.0204383336863936	0.889704599745426	0.973496967572365	"1700096K18Rik"	3.46495587881673	2.2052925644151	1.37832854790239	2.00198188305377	2.68720255193335	2.66290509332097
"1700097N02Rik"	845	-2.14176892861835	1.43536044134401	7.0176994196364	0.0282020778594526	0.184032946848163	"1700097N02Rik"	0.504086079697218	-0.185231613232829	-0.00086655084681143	2.24859339505243	1.80711962965726	2.20712364689374
"1700113A16Rik"	983	0.718946486721371	2.36946876842207	0.784217995250728	0.400600912736581	0.745316131642774	"1700113A16Rik"	2.73587577261546	2.27871805291503	2.67576728792851	1.1160202236838	1.46682453281147	3.04916737760307
"1700123M08Rik"	1066	-1.07159564090185	1.42102608071322	1.03018936158814	0.338577685184917	0.697201184340783	"1700123M08Rik"	-1.24249577630953	2.24247237901238	0.589522022555752	1.82619034789651	2.0122803200621	0.905108069676412
"1700123O20Rik"	1891	0.072322962469535	6.30684609191964	0.0406441424055396	0.845044427676331	0.961887544739344	"1700123O20Rik"	7.01994826233338	5.39002813850761	6.37270615062405	6.34446681521083	6.1281263969628	6.11106417053722
"1700124M09Rik"	238	1.03967183251906	2.78129907376616	1.07585345381714	0.328686570654142	0.6886509847406	"1700124M09Rik"	1.65255679461609	4.39954543928673	1.71081996976804	-0.341957626955217	2.51231091049721	2.92431423123941
"1810010H24Rik"	3417	-2.8591093850927	2.75483163701702	9.04390499327842	0.016049488120009	0.130444973056272	"1810010H24Rik"	-0.406403106912337	1.48840729845465	1.00726492438107	4.04172901005726	2.98390298656489	3.38547925212372
"1810013L24Rik"	4074	-0.556493429331269	5.82979992736695	1.10981247502599	0.321607712459909	0.681738572638009	"1810013L24Rik"	4.51871352282698	6.15601666098723	5.339879025816	5.40511052140344	5.21163111927241	6.99248887972693
"1810014B01Rik"	1620	-0.0407480267369199	3.25246371217097	0.00262999665586334	0.960303543902141	0.990407466952627	"1810014B01Rik"	1.65255679461609	3.96045731641929	3.60896218407067	3.09475996079332	2.99604174784259	3.30429271499336
"1810020O05Rik"	10392	-0.235317416729794	1.82490833575768	0.0716984666588516	0.795366130413577	0.948064567380209	"1810020O05Rik"	1.27131117971692	2.27871805291503	1.00726492438107	0.506691456696839	2.17060208480518	2.63661335431424
"1810021M19Rik"	5388	0.233325558276927	4.66255717576045	0.178769322928792	0.683096375226947	0.903563891094525	"1810021M19Rik"	5.44288486222944	4.13865790360263	4.36033233379556	4.44700270753188	3.66189426812063	5.16350823596309
"1810024B03Rik"	1884	0.224542833497272	1.78006862593968	0.0843580830597482	0.778549080206297	0.940287321608927	"1810024B03Rik"	2.13913414947926	1.21674654232958	2.09901418114087	1.29553048422558	1.2808972224906	2.24242149422917
"1810030O07Rik"	3516	-0.167502444314363	5.44652864912156	0.213178544864081	0.656061402804466	0.892788944943574	"1810030O07Rik"	5.58730250108701	5.25554734279769	5.22436827148905	5.55540421086611	5.49646890095895	5.51697095902829
"1810034E14Rik"	1802	-0.984930702513977	2.85306872579975	1.7925357794443	0.215870272994278	0.571094184045976	"1810034E14Rik"	2.96161606837762	1.9595196100929	1.85214560761899	3.28529863549409	3.22987049092742	3.14554462491178
"1810037I17Rik"	976	-0.274585371699579	7.36623480163309	1.01628145095546	0.341679068458348	0.699110356913975	"1810037I17Rik"	7.72713515783591	6.42014456740356	7.34467318399808	7.60723332326558	7.04705794195862	7.66241939177678
"1810041H14Rik"	764	-0.363406489760714	3.06635630081631	0.268355148660043	0.617861003391192	0.877110692198127	"1810041H14Rik"	3.24020243407705	2.31407537840609	2.99820545303789	3.25089306493963	3.08964140449009	3.28749240275314
"1810044D09Rik"	486	0.00641695572382467	1.85541101917064	1.33333581133821e-05	0.997172153069694	0.99937420013802	"1810044D09Rik"	2.26399872969368	-0.646738741755826	2.82040011033676	1.98114417451985	0.760944309949916	1.7965349637238
"1810046K07Rik"	1455	3.28505391736548	5.50870599996489	7.02086088494804	0.0281754271177128	0.183944354579629	"1810046K07Rik"	2.11723081908243	6.54815700259611	7.31598241118514	2.73284384116149	2.52911574512537	1.88853344955922
"1810055G02Rik"	2352	-0.177611234828459	2.74259846920759	0.0555814161398622	0.819292864003235	0.953759752681613	"1810055G02Rik"	2.07240055942793	3.19953129279379	2.42736141981344	3.04542753373036	3.19869855526733	1.97501535764914
"1810058I24Rik"	1165	0.67497918334345	6.88674041356517	4.70146694172753	0.0605338620450678	0.292061352919087	"1810058I24Rik"	7.87844358530155	6.27293486112546	7.11764664755438	6.62612106078384	6.1809211938418	6.44422783849265
"2010016I18Rik"	1558	0.580109169990572	1.98058751896183	0.581260297858105	0.46677684350076	0.792183867025429	"2010016I18Rik"	1.76951456909927	1.9595196100929	2.82040011033676	1.7543233871587	1.32004907067137	1.7965349637238
"2010110K18Rik"	903	-4.58924038866128	1.39589794641547	22.1810582153689	0.00134961178802147	0.0280639184975644	"2010110K18Rik"	-1.78639079230344	-1.84920878679484	-1.01726830104874	2.61605303111367	1.77929488960224	2.34341147243219
"2010204K13Rik"	946	0.676763588181885	2.07920467884762	0.673453493180324	0.434617899041602	0.770799954090538	"2010204K13Rik"	2.34161534728285	1.14001109928339	3.18348287193364	1.65256842280076	1.53496763555085	1.53704975960367
