"gene"	"length"	"logfc"	"logcpm"	"F"	"p"	"fdr"	"gene2"	"IFNg_A"	"IFNg_B"	"IFNg_C"	"WT_A"	"WT_B"	"WT_C"
"2310009B15Rik"	571	-0.579980240601901	2.36176484078947	10.4272211572153	0.010397991326287	0.179037033416069	"2310009B15Rik"	2.34234034028543	2.67478431411159	2.78323337608837	2.02103454586004	2.02008489232764	2.06435493558428
"2310010J17Rik"	538	-0.194997529541666	2.22731263744969	0.748343205098742	0.40956570746614	0.716548163646026	"2310010J17Rik"	2.48883682983146	2.19984706326469	2.19894929189611	2.45364734817271	2.38520738118823	1.40246291546017
"2310011J03Rik"	1659	-0.140563931080665	5.76080962096887	4.38331649797469	0.0659323467482801	0.367495927907201	"2310011J03Rik"	5.84914362217596	5.85200305844184	5.78435526801149	5.6157147563547	5.757071409663	5.69067645187584
"2310015A10Rik"	4845	-0.131825764964015	4.88088786863695	2.41632846281908	0.154648994169797	0.503761942454765	"2310015A10Rik"	4.87834428843926	4.77601966895947	5.15851306396748	4.76071326044726	4.73366590890484	4.92792997785214
"2310022A10Rik"	2976	0.0497875760857203	4.96403025698274	0.391150088046558	0.547293174134321	0.800280003210772	"2310022A10Rik"	4.92822669247042	4.91620444968045	4.97250440016773	4.96892229216748	5.01545909800095	4.98162050748511
"2310022B05Rik"	3307	-0.250832018339429	1.53532815582237	1.01403792743312	0.340357788000955	0.673057679665803	"2310022B05Rik"	1.92225184549555	1.65657340910749	1.25527989412271	1.64565415596918	1.82708780481021	0.527295202557421
"2310033P09Rik"	1243	-0.0824830695816647	4.86130622757266	0.77608043167132	0.401356587727228	0.712762377241895	"2310033P09Rik"	4.82165643212977	4.96947925085236	4.9040531956431	4.75549492824205	4.70866496546896	4.98162050748511
"2310039H08Rik"	773	-0.082446723610693	3.84844831431756	0.467677452908507	0.511355630404303	0.779295677681309	"2310039H08Rik"	3.75456382876279	3.89341235342535	4.00485007341054	3.75008446166615	3.9335842858559	3.72506134343072
"2310057M21Rik"	5383	0.0873059260936122	4.41869086032923	0.761656869348364	0.405592180911024	0.713580412086392	"2310057M21Rik"	4.37092210149284	4.34801654801879	4.39778344322442	4.48613884435734	4.28882192888399	4.59912958280934
"2310061I04Rik"	2130	-0.0571080098797978	4.291737168792	0.255563549425253	0.625386544238183	0.848728936641849	"2310061I04Rik"	4.29328617985855	4.31039251530966	4.3392853245433	4.1507063651166	4.09663925226057	4.51666204535903
"2310075K07Rik"	1944	-0.0798712098190931	2.10405865486838	0.100275680616372	0.758752871496324	0.909888949583819	"2310075K07Rik"	2.39734825598411	1.79013408749527	2.18502985586251	1.89381685442618	2.42668144553946	1.81113440353455
"2410002F23Rik"	2514	0.041843967578429	6.68158123587279	0.577025927787928	0.466996178490722	0.753068705309002	"2410002F23Rik"	6.6660217729975	6.73666986003799	6.57271904531636	6.63932652423134	6.83110125936991	6.62964680947252
"2410003I16Rik"	3680	-0.0631616313842918	1.1751624622329	0.0443782232616581	0.837864645728558	0.943695297254654	"2410003I16Rik"	0.510988226455942	1.961745685125	0.787299098192455	1.10440851270936	1.31130708954136	0.830148780238646
